,Human Emotions,Emotion Value from the Video
0,Angry,52.29
1,Disgust,0.04
2,Fear,24.739999999999974
3,Happy,17.61999999999998
4,Sad,91.91000000000003
5,Surprise,6.4999999999999725
6,Neutral,74.71999999999997
